entry_key,first_author,country_alpha3
,"Geck, Gaetano",COM
,"Klinkhamer, Alex",COM
,"Lodha, Neha",COM
,"Lahav, Ori",COM
,"Halpern, Joseph Y.",COM
,"Clemente, Lorenzo",COM
,"Maniezzo, Vittorio",COM
,"Hughes, Cameron",COM
,"Verbitsky, Oleg",COM
,"Liu, Ruibo",COM
,"Constantin, Mihai Gabriel",COM
,"Quaas, Karin",COM
,"Leone, Nicola",COM
,"Oraby, Shereen",COM
,"Bulling, Nils",COM
,"Xiao, Ping",COM
,"Lellmann, Björn",COM
,"Tissenbaum, Mike",COM
,"Elejalde, Erick",COM
,"Wrona, Michał",COM
,"Bablani, Annushree",COM
,"Treiblmaier, Horst",COM
,"Fan, Songchun",COM
,"Nardelli, Enrico",COM
,"Quaglia, Francesco",COM
,"Newton, Jim",COM
,"Richard, Gabriela T.",COM
,"Audrito, Giorgio",COM
,"Cavallo, Evan",COM
,"Mammadli, Rahim",COM
,"Adámek, Jiří",COM
,"Bozzelli, Laura",COM
,"Atserias, Albert",COM
,"Cabrer, Leonardo M.",COM
,"Dumitrescu, Adrian",COM
,"Xiao, Lei",COM
,"Malomo, Luigi",COM
,"Braga, Diego De Siqueira",COM
,"Rule, Adam",COM
,"Salehi, Niloufar",COM
,"Hamilton, Kathleen E.",COM
,"Garlík, Michal",COM
,"Hamano, Masahiro",COM
,"Khan, Md. Aquil",COM
,"Rabe, Florian",COM
,"Albert, Elvira",COM
,"Li, Yongjian",COM
,"Ardeshir-Larijani, Ebrahim",COM
,"Huang, Xiaowei",COM
,"Hopfgartner, Frank",COM
,"Wu, Hui-Yin",COM
,"Jacobson, Ivar",COM
,"Turner, Scott Alexander",COM
,"Cazalens, Sylvie",COM
,"Goranko, Valentin",COM
,"Gall, Daniel",COM
,"Dima, Catalin",COM
,"Hannula, Miika",COM
,"Cimatti, Alessandro",COM
,"Seiller, Thomas",COM
,"Roux, Stéphane Le",COM
,"Guller, Dušan",COM
,"Alderighi, Thomas",COM
,"Auzinger, Thomas",COM
,"Wang, Congli",COM
,"Ozkan, Aysegul",COM
,"Gregor, Shirley",COM
,"Yaşar, Osman",COM
,"Mehrotra, Pavan",COM
,"Escobedo, Adolfo R.",COM
,"Hwang, John T.",COM
,"Nagaraj, S.V.",COM
,"Banyassady, Bahareh",COM
,"Jha, Sagar",COM
,"Oliveira, Wellington",COM
,"Berg, Benno Van Den",COM
,"Binnewies, Sebastian",COM
,"Neider, Daniel",COM
,"Lescanne, Pierre",COM
,"Neven, Frank",COM
,"Hóu, Zhé",COM
,"Heintz, Fredrik",COM
,"Dennis, Alan R.",COM
,"Ciabattoni, Agata",COM
,"Amigó, Enrique",COM
,"Kleinberg, Jon",COM
,"Wallach, Hanna",COM
,"Lamb, Carolyn",COM
,"Amant, Kirk St.",COM
